#  nordDev  eastDev   focusAngle              
-5.63   -23.26   13.16
-10.86   -5.78   8.85
-14.89   7.44   22.69
7.27   -37.61   25.50
-2.70   -26.14   17.65
-8.00   -12.16   21.10
-1.07   -47.90   28.55
-9.98   -34.90   23.92
-16.77   -21.53   27.63
32.44   25.45   34.83
25.72   34.69   28.47
18.50   45.69   27.66
14.52   -14.68   21.93
8.98   -3.61   5.90
0.30   11.89   11.69
-5.26   -40.15   24.39
-14.91   -28.22   17.23
-20.85   -17.12   23.81
-28.00   -9.95   34.37
-3.16   -44.28   25.55
-12.44   -28.99   21.29
-16.15   -17.65   28.29
-11.08   -46.95   27.20
-20.42   -33.83   25.96
-25.92   -25.05   33.21
-13.40   -47.33   27.71
-22.74   -34.18   27.16
-29.33   -25.08   34.49
1.54   -53.48   32.82
-7.24   -41.51   29.97
44.38   14.21   30.47
4.23   -34.09   23.36
-6.62   -20.95   12.87
-14.67   -8.60   17.92
-20.41   -1.06   30.13
2.74   -26.00   19.42
-6.67   -13.10   6.67
-15.80   0.60   16.63
-22.70   6.89   30.53
1.14   -37.44   23.29
-9.69   -25.20   15.12
-16.85   -12.95   20.91
-22.85   -5.40   32.29
-13.32   118.67   25.79
-8.25   -115.93   23.64
-13.82   -105.93   28.14
8.03   -164.26   27.86
-13.55   91.35   28.30
-8.06   -35.41   21.65
-15.27   -24.73   24.62
11.67   -14.79   22.75
1.47   -6.23   7.09
-7.17   9.74   10.60
-14.30   18.06   25.66
14.49   -14.90   24.00
4.10   -6.09   8.52
-3.75   10.06   9.29
-11.55   19.03   24.59
12.10   -45.79   30.14
2.73   -35.57   26.10
12.89   12.74   22.90
5.87   23.60   16.48
-3.88   35.50   23.55
20.39   36.17   30.24
13.10   44.35   27.98
21.22   -15.24   20.39
10.09   -3.82   5.76
-25.20   25.29   17.21
-35.62   38.06   8.58
9.90   -45.67   13.72
4.50   -37.20   27.95
4.26   -44.06   27.68
-4.74   -33.73   25.64
16.30   33.34   27.76
7.52   43.61   27.97
19.15   3.14   24.32
12.97   11.59   12.92
7.88   25.05   15.70
11.49   -8.33   19.39
4.37   2.71   4.50
0.01   17.24   14.47
-15.61   -45.20   27.36
-24.00   -34.95   27.81
-31.45   -23.87   33.84
-13.83   -44.63   26.95
-22.34   -33.46   26.91
-29.27   -23.28   32.84
-12.28   -39.94   26.31
-21.55   -29.39   27.87
-0.75   -27.77   22.03
-10.18   -19.59   12.04
-16.26   -8.06   18.74
-22.92   -5.06   30.20
7.36   -16.51   22.41
0.49   -9.36   6.96
-7.16   4.75   10.89
-15.04   9.97   25.07
11.59   11.01   20.99
5.13   21.71   15.99
-4.41   31.35   22.82
19.72   45.28   32.28
8.09   16.23   17.05
0.62   26.10   17.79
16.55   0.73   22.15
10.47   4.85   8.63
1.56   14.70   12.34
6.90   1.54   15.98
0.25   10.68   7.58
-9.39   18.27   18.94
9.77   -12.34   17.84
1.63   -3.05   1.98
-6.22   6.90   14.94
-3.33   -34.14   23.03
-13.57   -23.18   16.50
-18.92   -14.52   22.23
-25.35   -9.45   32.47
-15.67   -39.44   24.34
-21.30   -30.22   25.52
-27.42   -22.81   32.63
5.91   -51.48   32.70
-1.54   -42.94   29.83
92.96   -149.96   29.63
-24.97   72.88   3.72
-34.09   83.70   12.77
190.57   90.61   28.25
-43.51   -20.06   17.08
-49.93   -9.83   9.35
-59.22   0.24   20.64
-205.95   78.70   19.33
124.60   -17.36   20.73
115.47   -9.40   22.24
15.34   3.03   21.57
8.63   10.86   10.50
1.09   21.98   16.78
-0.98   -32.22   20.64
-10.33   -23.31   16.50
-16.20   -10.63   24.60
21.45   -5.03   24.87
13.63   2.36   10.76
7.82   15.99   9.97
23.48   29.93   28.35
15.70   34.38   24.47
-7.59   -44.59   25.46
-14.29   -31.04   26.20
9.32   41.86   26.34
18.75   -12.43   24.43
9.51   -1.92   7.51
6.07   7.71   10.11
30.73   43.04   31.02
15.93   -9.90   21.94
8.29   -3.50   6.15
0.55   9.80   11.87
33.32   13.86   32.73
25.08   19.59   22.96
19.17   26.41   18.53
2.18   -16.21   15.27
-5.68   -6.27   6.93
-12.57   1.90   19.88
269.01   296.69   31.51
46.69   6.68   27.73
38.87   6.96   15.06
31.89   17.99   11.91
-66.60   11.09   19.85
-14.43   -44.13   30.44
6.12   44.64   29.73
1.33   -41.96   28.85
20.30   -0.15   24.81
14.67   3.25   11.25
8.50   16.87   10.35
-4.60   -39.35   26.28
-11.36   -32.79   26.09
-15.13   -35.02   23.43
-21.37   -28.17   24.59
-28.41   -21.45   31.28
13.53   -11.52   12.25
11.98   1.21   13.78
4.52   11.36   6.86
28.45   40.27   32.26
23.42   26.63   30.60
16.41   33.89   25.97
7.74   41.87   27.81
23.34   7.44   31.67
18.78   13.66   21.80
12.75   22.28   16.66
3.06   32.51   22.65
-6.93   -37.09   25.00
-15.43   -29.74   22.21
-19.10   -19.91   28.47
12.34   42.19   29.41
-10.32   -4.80   8.34
16.80   3.67   16.22
9.14   8.39   6.37
4.73   -7.96   15.90
1.49   7.23   6.35
-8.95   21.88   19.08
7.63   46.01   31.09
-8.56   -48.20   32.35
-18.71   -43.94   32.65
31.22   8.54   32.40
24.45   19.70   22.34
18.77   30.28   16.95
16.35   -33.52   25.78
16.00   -0.95   25.23
7.34   -0.58   10.58
-0.64   12.76   7.53
-8.10   7.31   22.05
-5.20   -23.38   14.61
-14.63   -12.72   15.27
-21.73   -8.67   26.02
15.73   0.31   25.34
7.77   3.44   11.25
1.49   6.21   7.91
-7.73   14.34   22.72
18.52   18.90   22.77
12.74   26.33   17.53
-6.46   -50.75   28.03
-15.31   -38.26   26.27
-18.40   -20.02   31.11
44.49   22.24   32.52
20.73   -13.03   20.90
12.14   -5.73   6.06
3.60   -51.05   32.54
208.57   307.05   23.90
23.90   8.88   31.30
199.27   315.31   21.92
17.17   12.35   20.58
10.27   21.56   15.47
0.59   30.14   23.04
-5.31   -18.47   11.73
-11.77   -4.98   10.14
-19.84   0.93   24.67
-1.93   -21.77   16.09
-9.85   -11.99   10.62
105.33   -146.97   14.42
-14.71   -1.75   23.04
10.87   -11.27   19.42
2.73   -5.43   3.38
20.83   0.23   24.96
14.57   5.44   11.59
6.94   17.86   11.17
12.92   -5.26   19.07
5.03   1.64   3.68
-5.24   13.10   14.35
6.64   -31.47   21.60
-3.85   -17.53   14.43
-9.78   -9.98   21.07
2.32   -38.70   25.31
-6.81   -28.40   24.56
-6.27   -52.64   34.28
112.08   -2.87   24.59
106.07   0.33   9.57
-176.89   -12.42   12.96
-12.13   -40.83   23.04
-21.32   -26.96   22.07
-27.11   -17.14   30.00
-13.99   -24.06   11.89
-20.91   -6.44   14.62
-25.85   4.00   27.96
20.20   -12.30   24.61
12.40   1.00   9.15
8.19   19.97   10.97
23.43   34.29   29.57
4.21   54.72   29.14
-8.75   44.29   27.62
-129.19   -23.40   16.92
133.08   10.86   8.47
-11.65   -41.87   29.38
39.01   -0.39   26.13
36.67   20.21   28.38
16.65   2.73   12.05
6.50   38.10   25.96
26.73   -2.90   19.02
51.63   5.63   33.40
33.52   -9.79   23.78
-22.93   -51.46   30.95
-31.38   -39.97   33.74
27.23   -10.48   31.43
20.49   -1.00   18.54
14.42   11.97   6.98
-1.36   26.05   17.41
3.04   -31.52   20.05
-3.83   -18.39   10.32
-11.91   -0.45   21.06
21.29   27.27   25.80
12.65   39.15   23.90
-14.50   -69.29   39.72
-1.69   -21.91   11.89
-10.45   -5.67   15.19
2.82   -42.23   24.25
-6.42   -29.04   23.27
30.27   -20.73   25.74
22.75   -12.83   9.97
-9.71   20.07   8.29
-431.15   350.74   32.17
436.89   -381.14   18.79
368.37   78.38   26.14
-331.98   -71.56   24.05
360.77   89.93   24.33
-344.12   -59.85   13.25
-15.50   -19.43   9.69
-21.76   -5.54   21.29
-6.16   57.20   33.84
45.59   17.95   30.00
36.88   22.35   26.84
30.47   36.60   29.19
27.44   69.69   41.26
23.40   -16.93   18.23
17.30   -3.36   12.17
-7.02   12.45   16.54
-0.89   -2.32   1.80
6.27   -16.04   16.84
-23.59   -43.89   32.29
-14.99   -3.81   22.97
-8.04   -16.81   13.14
-1.35   -31.05   18.29
-2.97   37.24   23.74
10.36   24.66   18.88
13.44   15.23   24.86
-20.17   4.74   20.62
-13.97   -10.73   6.01
1.10   -1.00   6.28
-7.17   13.50   11.86
3.87   -16.18   11.41
-3.19   1.51   9.22
24.13   16.73   26.11
18.66   28.98   19.05
-16.36   -45.65   31.21
-3.24   -51.17   32.83
-1.12   -9.60   10.95
-7.53   5.43   6.34
-13.17   16.60   22.14
40.48   390.94   25.40
-26.94   -14.91   19.24
13.14   -20.93   19.32
